,robot_x
0,0.0017642368197314348
1,0.021929665278980093
2,0.04407042074702512
3,0.07006995882987514
4,0.08881301942272851
5,0.10795130150862203
6,0.13449140380613034
7,0.15657325210855252
8,0.17915759320379107
9,0.20094531770934443
10,0.22348979107502667
11,0.2468194605865121
12,0.26571073930072653
13,0.2962120570353207
14,0.31492033435251343
15,0.3372386939789098
16,0.35950765069810875
17,0.3854019442199267
18,0.4082119103588853
19,0.43015484745124427
20,0.45162940894758014
21,0.47372984158869363
22,0.495298556624523
23,0.5170411812271261
24,0.5353189636028682
25,0.5612642369098306
26,0.5796536418551111
27,0.6026176533988208
28,0.6257880089167824
29,0.648151295414642
30,0.6738574022738437
31,0.6944790939859183
32,0.7126288065197394
33,0.7343411366205741
34,0.7564632908093798
35,0.7788435852613316
36,0.8047705801792057
37,0.8234750859708473
38,0.8456740516539284
39,0.8677380588753965
40,0.8930836104154436
41,0.9145138500954271
42,0.9366973979299782
43,0.9585942419691953
44,0.9802951589668074
45,0.9986361976780199
46,1.0204996887019906
47,1.0471471158531906
48,1.0657994397625055
49,1.0869933845919386
50,1.108483825039316
51,1.134612033200149
52,1.1535852328387426
53,1.1787531185469735
54,1.1963392620406679
55,1.2139481396920797
56,1.2387228230153744
57,1.260146587863142
58,1.2819558063734173
59,1.3036867169687534
60,1.3257191417927605
61,1.3512588085838195
62,1.3728943136340468
63,1.3940593213825798
64,1.415046472270887
65,1.437174400996408
66,1.4597546546490283
67,1.4817988422376298
68,1.503856647295118
69,1.526248567584578
70,1.5447472099456934
71,1.5703773068466096
72,1.585097919408298
73,1.609820121915239
74,1.6312535001307993
75,1.6527992472421906
76,1.6778734625289
77,1.6986992067569227
78,1.7201946455257908
79,1.7414074105756638
80,1.7601791320543818
81,0.008482057164472827
82,0.030431725875459174
83,0.05318108835641949
84,0.07453556229409082
85,0.0969133462116196
86,0.12327264518552371
87,0.14535156339952987
88,0.16638404672092336
89,0.18846882404917562
90,0.21045788406240865
91,0.22417493632808524
92,0.25019923707027286
93,0.2728240428106626
94,0.29542994984655585
95,0.3216064657960443
96,0.34421743336865274
97,0.3658777735142272
98,0.38451209950016907
99,0.41141543700866634
100,0.43405088567233613
101,0.45699332328714454
102,0.47553202755509333
103,0.4975037459895691
104,0.5201686031794195
105,0.5425752839808765
106,0.568750917822925
107,0.5880579964323306
108,0.6073665244072637
109,0.6335418102196274
110,0.6561217793730898
111,0.6819338406167459
112,0.7044865367748716
113,0.7235070238253163
114,0.7422476708436863
115,0.7722901946292755
116,0.7870719765684803
117,0.8128447016631176
118,0.8361343020117898
119,0.8592457952986574
120,0.8816623371752071
121,0.9037900070702461
122,0.9299006589214198
123,0.9483078816259515
124,0.9740812022588917
125,0.9959748780170649
126,1.0141366906075446
127,1.0352054990691864
128,1.0568040246947576
129,1.0785832294393096
130,1.104029712531043
131,1.1219899072949937
132,1.1401076154859395
133,1.1649677392149078
134,1.1862438638493245
135,1.2070847902029938
136,1.2285795775350612
137,1.2498347977770177
138,1.275056335235382
139,1.297069171139206
140,1.3143088690858065
141,1.336010351569141
142,1.3610015430097733
143,1.3778513677455564
144,1.3986998245375515
145,1.4196200263229235
146,1.4435635712597532
147,1.464172094913026
148,1.4848881723375906
149,1.5059966272775138
150,1.5238213156657285
151,1.5448129077076964
152,1.5689701973297514
153,1.590011564157209
154,1.607912869161405
155,1.629152511948712
156,1.650383090058854
157,1.6747221963222574
158,1.6917115430466936
159,1.715948285173292
160,1.7363708121299308
161,1.7538484672660926
162,0.004391589884106596
163,0.014835613232797066
164,0.037164583164998724
165,0.05548986023859459
166,0.08118096950369298
167,0.10381669193221219
168,0.12705192977706223
169,0.15392870578200157
170,0.17607674840561813
171,0.1986804509315833
172,0.2211109721200396
173,0.23961362035297945
174,0.2619936420013675
175,0.28452666519356956
176,0.3073681176714294
177,0.33331552770225725
178,0.3521858833281468
179,0.3781638989545362
180,0.40053030540247586
181,0.4190496887715747
182,0.4418662148279584
183,0.46424346998827315
184,0.4859146889903184
185,0.5108153197567197
186,0.528889246079213
187,0.5506546594994562
188,0.5762220170334169
189,0.5935051649503742
190,0.6156637809177753
191,0.6380510018748639
192,0.6597486679470882
193,0.6849816813903279
194,0.7034750099441075
195,0.7214579460350677
196,0.7490826932327991
197,0.770576937855752
198,0.7873814365047733
199,0.80864398477939
200,0.8304310562001109
201,0.8522558743222379
202,0.8734843659181576
203,0.8943010641530988
204,0.9156638878887988
205,0.9369463434080104
206,0.9615404906385998
207,0.9795225782093552
208,1.0010981799949827
209,1.0233318535547564
210,1.045200315604157
211,1.0668086773266523
212,1.0918568388101286
213,1.1099155411318558
214,1.1315310450814482
215,1.155593855313146
216,1.1758128195483293
217,1.1927786389413157
218,1.213284147435092
219,1.233565019693504
220,1.2568246307438173
221,1.2775046482025783
222,1.29479509205161
223,1.3186056077499815
224,1.3326029722461232
225,1.3563538249957667
226,1.3761700219226636
227,1.3958660500449165
228,1.4154074270884873
229,1.4382648938469642
230,1.4544600366470557
231,1.4703860600322018
232,1.4933797346675146
233,1.513230311388891
234,1.5328909519756162
235,1.5554186438238955
236,1.5718369173869131
237,1.5913409543625565
238,1.6107593903892545
239,1.633621327282408
240,1.6533762649154184
241,1.66934391946918
242,1.6887453934410288
243,1.7114933440443598
244,1.7277063862254234
245,1.747516867763349
246,0.004363799085626651
247,0.011225638876994005
248,0.03763477820252071
249,0.060344234789632634
250,0.0828218995351628
251,0.10485232589320065
252,0.13053601882825783
253,0.14882345536278296
254,0.16661093638064703
255,0.19261004786950311
256,0.2151661676093864
257,0.23770054331213605
258,0.26343194883307675
259,0.2854018132953383
260,0.30847967180712343
261,0.32685784734563317
262,0.34909028882534404
263,0.3753223815722856
264,0.39366267408570443
265,0.41602969585504423
266,0.43901065993797034
267,0.46544870831417573
268,0.48768811117515615
269,0.5060578255945127
270,0.5315841412892859
271,0.5540303657834208
272,0.5770576383568631
273,0.5996590427521983
274,0.6190738285920215
275,0.6424844752104047
