,robot_y
279,0.0009165883717217189
280,0.000820937175773496
281,0.0009162095333068496
282,0.000757079208027766
283,-0.0001684521444001693
284,-0.0010171736618236294
285,-0.002040587797906433
286,-0.0029565936553200612
287,-0.003640538493070597
288,-0.0041500908650544946
289,-0.004907530357335533
290,-0.005642567996444493
291,-0.00664657705950659
292,-0.007573302602557657
293,-0.008684873406747555
294,-0.009129621507220156
295,-0.009230140781991993
296,-0.00968099146578592
297,-0.0105932680195527
298,-0.011746912852030104
299,-0.013622744014237409
300,-0.016060753343105274
301,-0.018838337372478333
302,-0.020823981988922585
303,-0.02220600072640888
304,-0.023564454247239672
305,-0.02621323622178582
306,-0.02824643040803255
307,-0.03080436094966578
308,-0.03350872637321871
309,-0.036044775208004406
310,-0.039512618756232055
311,-0.04214992888080605
312,-0.04471199869544229
313,-0.04836542997006525
314,-0.05155647397761973
315,-0.05479382478059632
316,-0.05781736760437462
317,-0.060749081691548655
318,-0.06386701507763379
319,-0.06783400391444855
320,-0.07140994796079182
321,-0.07471255490172743
322,-0.07915383083515347
323,-0.0835572719990288
324,-0.08866790215043063
325,-3.7566513226316234e-07
326,-3.1123751719036946e-05
327,-0.00010385986019331451
328,-8.470603412230821e-05
329,7.538402006688999e-05
330,0.0003176481171064265
331,0.0003288919377764503
332,0.00015077526563659572
333,-0.00010907466379025203
334,-0.0003087321739778245
335,-0.0003874785655940742
336,-0.00043937866915899604
337,-0.0007956079755669739
338,-0.0016230251540419738
339,-0.002556977321820669
340,-0.003808416863735318
341,-0.005783494614749447
342,-0.00742847190875573
343,-0.008972786224281222
344,-0.010727681535970651
345,-0.0121315155138057
346,-0.013910872639514698
347,-0.015700728830065385
348,-0.01762123910426736
349,-0.01947827900145847
350,-0.02160919879939287
351,-0.023432438231041616
352,-0.02517502576244386
353,-0.027254425375462292
354,-0.02914875106340436
355,-0.03209780236181871
356,-0.034420838176041385
357,-0.03690268312147886
358,-0.03964023622145208
359,-0.04196409034218837
360,-0.04557841717491146
361,-0.049146942045862736
362,-0.05267856160976001
363,-0.05733430078587138
364,-0.062357117676751825
365,-0.06732626442722013
366,-0.07254805241883908
367,-0.07770764616003216
368,-0.08368048638441562
369,-0.08865894120588791
370,-0.09367313165139335
371,-0.09823737822860674
372,-0.10410726737827003
373,-0.11176077186572313
374,-0.11737410268852264
375,-0.12455749866734013
376,-0.13214011516653631
377,-0.14100116308870705
378,-0.14812718896584287
379,-0.15408169851698675
380,-0.16030320274515877
381,-0.16916267731534562
382,-0.17713545654257748
383,-0.1852772198435905
384,-0.19554985189219629
385,-0.2035234976512873
386,-0.21350997010125064
387,-0.2249973855507386
388,-0.23345414348005594
389,-0.24400640218585987
390,-0.25490462949009224
391,-0.26579033404366453
392,-0.27686745851485695
393,-0.28815198945167736
394,-0.3009445093875378
395,-0.31196572411102386
396,-0.32148973665770186
397,-0.33310228170467543
398,-0.34273101237340464
399,-0.35825555646659
400,-0.3677309750188683
401,-0.37927011934502514
402,-0.3908306780498442
403,-0.4019994194608451
404,-0.4127846007156757
405,-0.4238898830558118
406,-0.43778408088877807
407,-0.4475821540098024
408,2.1621807838871727e-05
409,0.00012708722242804832
410,-0.00022047669258001354
411,-0.0013731724530767447
412,-0.002684913883798179
413,-0.0037572546714837625
414,-0.004375414545289541
415,-0.005017421989495191
416,-0.006057822756104608
417,-0.007234158381500343
418,-0.008225374607557127
419,-0.009121162876746216
420,-0.0099914305523904
421,-0.012035111798305855
422,-0.0135293847985078
423,-0.016205936839451252
424,-0.018937294773678556
425,-0.02243697726025418
426,-0.026104366664610072
427,-0.02975989388698893
428,-0.03451356689586482
429,-0.038806353383715554
430,-0.04276863148191743
431,-0.047755428782798794
432,-0.052972499568912916
433,-0.05863544646254824
434,-0.06461833851482807
435,-0.07243029284119178
436,-0.0791737310997514
437,-0.08489833097969808
438,-0.092747442914461
439,-0.09939518742652394
440,-0.10511133293306128
441,-0.11179937735961781
442,-0.1184911158838242
443,-0.12640716782796138
444,-0.1332787673598237
445,-0.13971769617805002
446,-0.14643859955718938
447,-0.15620694929518347
448,-0.16520537474933353
449,-0.17475544505196286
450,-0.18477279054999002
451,-0.19684153753716413
452,-0.20570295203974193
453,-0.21434673732053164
454,-0.22801748023130286
455,-0.2350097750237613
