,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,729.6992761948529
21,0.0
22,512.582283266129
23,0.0
24,60.29421756628788
25,0.0
26,38.26828407379518
27,0.0
28,23.90373546950483
29,0.0
30,15.830437628777473
31,0.0
32,12.139168339734637
33,0.0
34,19.45289856905764
35,0.0
36,11.723916551196032
37,0.0
38,7.135885516497809
39,0.0
40,5.841631690492021
41,0.0
42,7.457568409765222
43,0.0
44,6.030080121689126
45,0.0
46,6.9209462041440215
47,0.0
48,8.852178869113116
49,0.0
50,9.979641802404247
51,0.0
52,3.891560808316929
53,0.0
54,4.750091125099522
55,0.0
56,4.097211487577986
57,0.0
58,3.2815508543921883
59,0.0
60,2.170038192573635
61,0.0
62,3.5170677745409606
63,0.0
64,2.5945499844955897
65,0.0
66,5.553557994378306
67,0.0
68,3.681928027849741
69,0.0
70,3.8213136089206508
71,0.0
72,3.3942521649096387
73,0.0
74,1.9757978418569568
75,0.0
76,3.540548533743584
77,0.0
78,4.220914201436388
79,0.0
80,3.154633428009463
81,0.0
82,6.175548835731285
83,0.0
84,4.278469572368421
85,0.0
86,3.654888405992546
87,0.0
88,2.0477961003127283
89,0.0
90,3.15029828815519
91,0.0
92,1.5936159084731283
93,0.0
94,2.7542513962050137
95,0.0
96,3.24865689374432
97,0.0
98,1.4711721622242646
99,0.0
100,2.5367500817349606
101,0.0
102,1.289894715569926
103,0.0
104,1.4800525327055274
105,0.0
106,2.571130496242034
107,0.0
108,1.8286169505669618
109,0.0
110,3.0151020264448567
111,0.0
112,3.9513663164841293
113,0.0
114,2.982266701406773
115,0.0
116,2.0401166783797597
117,0.0
118,2.2693957260332405
119,0.0
120,2.7552001036451816
121,0.0
122,2.1372877478687915
123,0.0
124,1.1771523542583762
125,0.0
126,2.1227203287799856
127,0.0
128,2.3691746474801776
129,0.0
130,2.8990959011333888
131,0.0
132,2.3117841591042154
133,0.0
134,2.241526817734845
135,0.0
136,1.610681085025563
137,0.0
138,2.222431556170346
139,0.0
140,1.2004317798251438
141,0.0
142,2.416576216924445
143,0.0
144,1.8573068747996366
145,0.0
146,1.0905291204450498
147,0.0
148,0.9878274646499159
149,0.0
150,1.6526139716718782
151,0.0
152,1.0915448651776776
153,0.0
154,2.7039204510084662
155,0.0
156,1.6284783766674902
157,0.0
158,1.689930300245098
159,0.0
160,0.8882283290692008
161,0.0
162,2.043483355978261
163,0.0
164,2.3141002227438205
165,0.0
166,1.3295686382870282
167,0.0
168,1.7261342540835058
169,0.0
170,1.483404900045956
171,0.0
172,2.4142006426822635
173,0.0
174,1.1353954013392054
175,0.0
176,1.7518982774417167
177,0.0
178,1.851867323962882
179,0.0
180,1.6408164861628813
181,0.0
182,1.8761413081407834
183,0.0
184,2.0045982877114663
185,0.0
186,1.6130533522679056
187,0.0
188,1.8470599085237775
189,0.0
190,1.7830055300500836
191,0.0
192,1.9946646736203182
193,0.0
194,1.5412285645174573
195,0.0
196,1.6336927164287467
197,0.0
198,2.128673599277832
199,0.0
200,1.300858280847553
201,0.0
202,1.6210484519953614
203,0.0
204,2.1927580197248253
205,0.0
206,1.6009042279556553
207,0.0
208,2.425159869113706
209,0.0
210,1.587004261688386
211,0.0
212,1.5650412247402943
213,0.0
214,2.2379119099928797
215,0.0
216,1.462413197682008
217,0.0
218,1.6409761235955056
219,0.0
220,1.1571300392862387
221,0.0
222,0.9597076491653302
223,0.0
224,1.3392282917711318
225,0.0
226,1.8802795626685114
227,0.0
228,0.9537973082316212
229,0.0
230,1.355910463052244
231,0.0
232,2.040985535957737
233,0.0
234,1.223187960428494
235,0.0
236,1.267543951884253
237,0.0
238,0.9138150851480548
239,0.0
240,0.9982119605654762
241,0.0
242,1.0691783549485672
243,0.0
244,1.10609687479742
245,0.0
246,1.3262916526926025
247,0.0
248,0.7144764412800824
249,0.0
250,1.4225331824413767
251,0.0
252,1.3785524496207848
253,0.0
254,1.6566957929400599
255,0.0
256,0.5610702448593073
257,0.0
258,1.129863661854033
259,0.0
260,1.3381860965398398
261,0.0
262,0.8234869741550397
263,0.0
264,0.786173522101102
265,0.0
266,0.877443789811287
267,0.0
268,0.774475177082101
269,0.0
270,0.6363826721447737
271,0.0
272,1.4493113531199469
273,0.0
274,1.3309619301700604
275,0.0
276,0.9644410392671635
277,0.0
278,1.256342934843715
279,0.0
280,0.6699904181779353
281,0.0
282,1.4594857853118375
283,0.0
284,0.6483746706877427
285,0.0
286,1.0713512220766686
287,0.0
288,1.1794793783642754
289,0.0
290,1.2499967928981937
291,0.0
292,0.7447836803851815
293,0.0
294,1.3295582322330546
295,0.0
296,0.8418373934159634
297,0.0
298,1.3072016670482707
299,0.0
300,1.0379099065756257
301,0.0
302,1.4935227698650675
303,0.0
304,0.783479651094983
305,0.0
306,1.1451442670791816
307,0.0
308,1.004934813292393
309,0.0
310,1.2209776193546689
311,0.0
312,0.7163065949078934
313,0.0
314,1.8257081099633892
315,0.0
316,1.2896949802264672
317,0.0
318,0.5819888127787285
319,0.0
320,1.5216093087992146
321,0.0
322,1.4700956023406118
323,0.0
324,1.3560094167883492
325,0.0
326,0.5937745287293241
327,0.0
328,0.7522043673559551
329,0.0
330,0.5328383728732023
331,0.0
332,0.9775031558502065
333,0.0
334,0.8427020247141137
335,0.0
336,1.317524943147741
337,0.0
338,0.7993931133312259
339,0.0
340,1.4516055816563085
341,0.0
342,0.7603465461092797
343,0.0
344,0.8102825430135877
345,0.0
346,0.39104072347946484
347,0.0
348,1.3035332340546975
349,0.0
350,0.9590023456416464
351,0.0
352,0.6232815250614931
353,0.0
354,1.2450476000562685
355,0.0
356,0.5634059011093838
357,0.0
358,0.8297052703236668
359,0.0
360,0.8404240944602273
361,0.0
362,0.721024589137885
363,0.0
364,1.3250570855053896
365,0.0
366,0.8481099812308198
367,0.0
368,1.2518057594967744
369,0.0
370,0.8022937827787692
371,0.0
372,0.356188755786534
373,0.0
374,0.7345143761893435
375,0.0
376,1.1024403184634315
377,0.0
378,0.5171610610496348
379,0.0
380,0.8484441517167797
381,0.0
382,0.4808145532852564
383,0.0
384,0.7474932175294218
385,0.0
386,0.8661667967424949
387,0.0
388,0.7916472325870647
389,0.0
390,1.4815734118636936
391,0.0
392,0.8712675047927841
393,0.0
394,0.9278100402679316
395,0.0
396,1.0618738357996171
397,0.0
398,1.0025770354266976
399,0.0
400,0.7143381965438877
401,0.0
402,1.369995588114586
403,0.0
404,0.703444792647119
405,0.0
406,0.7600413724934657
407,0.0
408,0.7362793964023645
409,0.0
410,0.5819747638022521
411,0.0
412,0.8418917150724958
413,0.0
414,0.8221386242301848
415,0.0
416,0.6416114734861299
